0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1520 ;    mean_val =   1450.34 ;    std_val = 25.72
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1522 ;    mean_val =   1448.10 ;    std_val = 25.73
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1532 ;    mean_val =   1447.64 ;    std_val = 28.91
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1536 ;    mean_val =   1445.50 ;    std_val = 28.88
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1536 ;    mean_val =   1441.48 ;    std_val = 28.40
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1504 ;    mean_val =   1439.59 ;    std_val = 27.25
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1492 ;    mean_val =   1436.72 ;    std_val = 26.73
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1504 ;    mean_val =   1436.13 ;    std_val = 26.17
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1507 ;    mean_val =   1434.16 ;    std_val = 24.51
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1495 ;    mean_val =   1432.23 ;    std_val = 24.46
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1491 ;    mean_val =   1433.45 ;    std_val = 22.17
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1494 ;    mean_val =   1435.04 ;    std_val = 22.66
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1494 ;    mean_val =   1432.84 ;    std_val = 24.62
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1477 ;    mean_val =   1425.91 ;    std_val = 20.34
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1475 ;    mean_val =   1422.31 ;    std_val = 18.18
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1482 ;    mean_val =   1415.99 ;    std_val = 17.82
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1476 ;    mean_val =   1415.47 ;    std_val = 19.73
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1459 ;    mean_val =   1410.72 ;    std_val = 16.38
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1464 ;    mean_val =   1409.86 ;    std_val = 15.86
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1464 ;    mean_val =   1407.01 ;    std_val = 15.53
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1464 ;    mean_val =   1403.37 ;    std_val = 18.19
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1461 ;    mean_val =   1401.03 ;    std_val = 17.86
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1461 ;    mean_val =   1400.68 ;    std_val = 17.67
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1451 ;    mean_val =   1396.26 ;    std_val = 15.15
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1451 ;    mean_val =   1395.69 ;    std_val = 16.72
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1432 ;    mean_val =   1389.61 ;    std_val = 15.85
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1437 ;    mean_val =   1388.27 ;    std_val = 16.07
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1430 ;    mean_val =   1386.23 ;    std_val = 16.76
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1339 ;    max_val =  1430 ;    mean_val =   1382.90 ;    std_val = 17.43
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1433 ;    mean_val =   1383.32 ;    std_val = 19.45
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1430 ;    mean_val =   1383.75 ;    std_val = 18.82
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1428 ;    mean_val =   1383.92 ;    std_val = 17.51
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1411 ;    mean_val =   1381.63 ;    std_val = 16.20
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1405 ;    mean_val =   1378.42 ;    std_val = 16.57
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1404 ;    mean_val =   1375.26 ;    std_val = 16.62
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1402 ;    mean_val =   1372.11 ;    std_val = 16.26
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1401 ;    mean_val =   1369.25 ;    std_val = 15.06
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1404 ;    mean_val =   1367.87 ;    std_val = 14.54
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1404 ;    mean_val =   1365.45 ;    std_val = 14.06
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1397 ;    mean_val =   1362.59 ;    std_val = 10.97
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1405 ;    mean_val =   1360.47 ;    std_val = 10.00
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1405 ;    mean_val =   1360.28 ;    std_val = 10.48
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1389 ;    mean_val =   1359.67 ;    std_val =  9.53
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1386 ;    mean_val =   1361.46 ;    std_val =  8.04
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1381 ;    mean_val =   1361.69 ;    std_val =  8.30
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1382 ;    mean_val =   1362.81 ;    std_val =  7.87
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1330 ;    max_val =  1382 ;    mean_val =   1361.90 ;    std_val =  8.41
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1381 ;    mean_val =   1361.55 ;    std_val =  9.20
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1390 ;    mean_val =   1362.22 ;    std_val = 10.03
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1330 ;    max_val =  1380 ;    mean_val =   1361.19 ;    std_val = 10.09
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1380 ;    mean_val =   1361.80 ;    std_val = 10.12
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1380 ;    mean_val =   1361.77 ;    std_val = 11.09
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1392 ;    mean_val =   1364.06 ;    std_val = 11.61
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1390 ;    mean_val =   1363.17 ;    std_val = 11.91
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1390 ;    mean_val =   1362.71 ;    std_val = 12.24
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1392 ;    mean_val =   1360.64 ;    std_val = 12.42
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1390 ;    mean_val =   1360.19 ;    std_val = 12.86
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1390 ;    mean_val =   1360.14 ;    std_val = 11.69
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1339 ;    max_val =  1391 ;    mean_val =   1361.23 ;    std_val = 10.31
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1391 ;    mean_val =   1360.26 ;    std_val = 11.86
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1391 ;    mean_val =   1358.58 ;    std_val = 11.08
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1387 ;    mean_val =   1357.04 ;    std_val = 11.86
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1380 ;    mean_val =   1354.69 ;    std_val = 11.28
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1338 ;    max_val =  1383 ;    mean_val =   1354.32 ;    std_val = 11.63
