0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1500 ;    mean_val =   1434.80 ;    std_val = 31.74
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1499 ;    mean_val =   1423.70 ;    std_val = 31.88
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1494 ;    mean_val =   1419.50 ;    std_val = 28.74
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1485 ;    mean_val =   1418.30 ;    std_val = 26.01
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1500 ;    mean_val =   1416.89 ;    std_val = 25.39
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1500 ;    mean_val =   1412.62 ;    std_val = 24.42
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1500 ;    mean_val =   1414.49 ;    std_val = 27.83
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1487 ;    mean_val =   1414.71 ;    std_val = 27.10
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1486 ;    mean_val =   1408.80 ;    std_val = 25.57
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1450 ;    mean_val =   1404.60 ;    std_val = 21.38
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1448 ;    mean_val =   1402.18 ;    std_val = 22.87
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1449 ;    mean_val =   1403.54 ;    std_val = 23.77
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1453 ;    mean_val =   1405.40 ;    std_val = 22.19
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1447 ;    mean_val =   1401.27 ;    std_val = 22.17
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1450 ;    mean_val =   1396.50 ;    std_val = 27.10
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1450 ;    mean_val =   1390.95 ;    std_val = 24.64
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1441 ;    mean_val =   1388.19 ;    std_val = 21.74
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1441 ;    mean_val =   1385.92 ;    std_val = 19.99
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1441 ;    mean_val =   1388.52 ;    std_val = 19.38
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1441 ;    mean_val =   1385.98 ;    std_val = 18.93
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1441 ;    mean_val =   1384.23 ;    std_val = 21.45
