0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1413 ;    max_val =  1505 ;    mean_val =   1453.78 ;    std_val = 23.10
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1501 ;    mean_val =   1447.26 ;    std_val = 24.11
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1501 ;    mean_val =   1443.64 ;    std_val = 23.16
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1409 ;    max_val =  1515 ;    mean_val =   1444.44 ;    std_val = 23.04
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1499 ;    mean_val =   1438.48 ;    std_val = 19.71
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1476 ;    mean_val =   1434.27 ;    std_val = 15.07
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1481 ;    mean_val =   1433.54 ;    std_val = 15.50
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1485 ;    mean_val =   1432.34 ;    std_val = 14.70
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1481 ;    mean_val =   1433.64 ;    std_val = 16.04
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1475 ;    mean_val =   1431.10 ;    std_val = 15.48
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1474 ;    mean_val =   1426.47 ;    std_val = 15.08
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1493 ;    mean_val =   1426.38 ;    std_val = 15.89
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1474 ;    mean_val =   1426.25 ;    std_val = 15.51
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1459 ;    mean_val =   1424.53 ;    std_val = 13.66
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1461 ;    mean_val =   1423.95 ;    std_val = 12.21
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1470 ;    mean_val =   1424.29 ;    std_val = 14.20
