0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1504 ;    mean_val =   1450.28 ;    std_val = 24.68
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1504 ;    mean_val =   1448.51 ;    std_val = 25.46
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1504 ;    mean_val =   1442.00 ;    std_val = 30.16
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1496 ;    mean_val =   1441.01 ;    std_val = 28.94
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1494 ;    mean_val =   1437.59 ;    std_val = 29.92
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1520 ;    mean_val =   1434.97 ;    std_val = 31.54
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1520 ;    mean_val =   1433.71 ;    std_val = 32.91
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1518 ;    mean_val =   1432.40 ;    std_val = 31.91
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1491 ;    mean_val =   1426.01 ;    std_val = 27.14
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1491 ;    mean_val =   1425.85 ;    std_val = 24.69
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1489 ;    mean_val =   1422.25 ;    std_val = 24.25
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1514 ;    mean_val =   1426.07 ;    std_val = 29.44
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1489 ;    mean_val =   1422.78 ;    std_val = 27.41
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1488 ;    mean_val =   1425.06 ;    std_val = 28.02
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1487 ;    mean_val =   1426.19 ;    std_val = 26.52
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1487 ;    mean_val =   1427.28 ;    std_val = 26.02
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1487 ;    mean_val =   1426.71 ;    std_val = 25.42
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1487 ;    mean_val =   1418.45 ;    std_val = 22.50
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1484 ;    mean_val =   1419.27 ;    std_val = 22.14
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1481 ;    mean_val =   1415.60 ;    std_val = 19.10
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1453 ;    mean_val =   1413.38 ;    std_val = 17.42
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1472 ;    mean_val =   1411.35 ;    std_val = 18.64
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1366 ;    max_val =  1472 ;    mean_val =   1412.26 ;    std_val = 19.77
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1459 ;    mean_val =   1410.66 ;    std_val = 18.43
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1446 ;    mean_val =   1406.46 ;    std_val = 17.71
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1446 ;    mean_val =   1406.64 ;    std_val = 17.87
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1443 ;    mean_val =   1403.44 ;    std_val = 17.54
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1443 ;    mean_val =   1401.71 ;    std_val = 17.62
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1438 ;    mean_val =   1399.21 ;    std_val = 15.38
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1439 ;    mean_val =   1397.83 ;    std_val = 17.74
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1442 ;    mean_val =   1396.91 ;    std_val = 19.29
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1451 ;    mean_val =   1396.50 ;    std_val = 18.76
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1451 ;    mean_val =   1396.07 ;    std_val = 19.40
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1451 ;    mean_val =   1396.78 ;    std_val = 19.46
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1350 ;    max_val =  1449 ;    mean_val =   1398.46 ;    std_val = 19.80
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1350 ;    max_val =  1452 ;    mean_val =   1400.84 ;    std_val = 19.82
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1448 ;    mean_val =   1401.20 ;    std_val = 17.16
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1441 ;    mean_val =   1399.21 ;    std_val = 15.63
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1441 ;    mean_val =   1395.30 ;    std_val = 15.55
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1431 ;    mean_val =   1396.04 ;    std_val = 13.68
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1433 ;    mean_val =   1395.14 ;    std_val = 13.02
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1424 ;    mean_val =   1394.23 ;    std_val = 12.78
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1432 ;    mean_val =   1393.17 ;    std_val = 15.04
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1432 ;    mean_val =   1393.01 ;    std_val = 16.78
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1432 ;    mean_val =   1391.00 ;    std_val = 16.86
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1422 ;    mean_val =   1386.62 ;    std_val = 13.40
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1421 ;    mean_val =   1386.21 ;    std_val = 13.00
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1428 ;    mean_val =   1383.32 ;    std_val = 14.04
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1425 ;    mean_val =   1383.06 ;    std_val = 15.20
