0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1510 ;    mean_val =   1451.88 ;    std_val = 25.25
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1512 ;    mean_val =   1449.59 ;    std_val = 24.59
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1491 ;    mean_val =   1445.44 ;    std_val = 25.51
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1490 ;    mean_val =   1440.28 ;    std_val = 25.95
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1490 ;    mean_val =   1438.91 ;    std_val = 25.01
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1511 ;    mean_val =   1431.78 ;    std_val = 27.48
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1511 ;    mean_val =   1425.81 ;    std_val = 26.67
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1511 ;    mean_val =   1425.51 ;    std_val = 28.16
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1478 ;    mean_val =   1420.41 ;    std_val = 26.85
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1477 ;    mean_val =   1420.78 ;    std_val = 25.67
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1478 ;    mean_val =   1418.99 ;    std_val = 26.50
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1478 ;    mean_val =   1411.35 ;    std_val = 21.99
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1474 ;    mean_val =   1407.06 ;    std_val = 19.95
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1465 ;    mean_val =   1402.91 ;    std_val = 17.24
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1434 ;    mean_val =   1402.35 ;    std_val = 13.42
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1434 ;    mean_val =   1401.66 ;    std_val = 14.15
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1434 ;    mean_val =   1402.13 ;    std_val = 15.91
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1439 ;    mean_val =   1402.01 ;    std_val = 17.73
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1439 ;    mean_val =   1401.98 ;    std_val = 18.41
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1439 ;    mean_val =   1401.37 ;    std_val = 18.60
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1439 ;    mean_val =   1399.28 ;    std_val = 17.64
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1349 ;    max_val =  1435 ;    mean_val =   1398.83 ;    std_val = 16.76
