0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1511 ;    mean_val =   1453.22 ;    std_val = 30.00
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1532 ;    mean_val =   1446.32 ;    std_val = 31.59
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1532 ;    mean_val =   1437.57 ;    std_val = 28.96
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1511 ;    mean_val =   1434.18 ;    std_val = 29.12
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1511 ;    mean_val =   1431.23 ;    std_val = 27.28
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1511 ;    mean_val =   1421.88 ;    std_val = 30.06
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1511 ;    mean_val =   1417.92 ;    std_val = 29.84
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1511 ;    mean_val =   1413.61 ;    std_val = 26.58
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1511 ;    mean_val =   1410.21 ;    std_val = 27.60
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1470 ;    mean_val =   1401.65 ;    std_val = 24.89
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1470 ;    mean_val =   1397.53 ;    std_val = 23.19
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1462 ;    mean_val =   1391.89 ;    std_val = 22.06
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1462 ;    mean_val =   1387.74 ;    std_val = 21.69
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1462 ;    mean_val =   1382.55 ;    std_val = 21.12
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1456 ;    mean_val =   1377.38 ;    std_val = 20.26
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1456 ;    mean_val =   1373.70 ;    std_val = 18.72
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1459 ;    mean_val =   1375.84 ;    std_val = 22.89
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1343 ;    max_val =  1430 ;    mean_val =   1373.43 ;    std_val = 14.04
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1430 ;    mean_val =   1373.26 ;    std_val = 13.44
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1430 ;    mean_val =   1371.31 ;    std_val = 13.38
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1421 ;    mean_val =   1369.17 ;    std_val = 15.72
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1421 ;    mean_val =   1366.80 ;    std_val = 18.42
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1421 ;    mean_val =   1364.17 ;    std_val = 18.85
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1425 ;    mean_val =   1362.09 ;    std_val = 19.45
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1426 ;    mean_val =   1361.62 ;    std_val = 19.89
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1426 ;    mean_val =   1360.28 ;    std_val = 18.62
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1425 ;    mean_val =   1356.89 ;    std_val = 17.84
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1331 ;    max_val =  1421 ;    mean_val =   1351.93 ;    std_val = 14.41
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1421 ;    mean_val =   1350.09 ;    std_val = 12.91
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1395 ;    mean_val =   1348.91 ;    std_val = 10.93
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1395 ;    mean_val =   1349.81 ;    std_val = 12.03
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1385 ;    mean_val =   1348.76 ;    std_val = 12.14
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1382 ;    mean_val =   1346.04 ;    std_val = 10.35
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1319 ;    max_val =  1379 ;    mean_val =   1342.95 ;    std_val = 10.76
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1379 ;    mean_val =   1342.13 ;    std_val = 10.34
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1373 ;    mean_val =   1341.56 ;    std_val = 10.91
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1376 ;    mean_val =   1342.04 ;    std_val = 11.79
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1376 ;    mean_val =   1341.19 ;    std_val = 11.96
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1309 ;    max_val =  1381 ;    mean_val =   1341.34 ;    std_val = 14.73
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1308 ;    max_val =  1381 ;    mean_val =   1338.66 ;    std_val = 17.01
