0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1518 ;    mean_val =   1445.53 ;    std_val = 31.21
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1511 ;    mean_val =   1432.44 ;    std_val = 28.95
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1504 ;    mean_val =   1421.60 ;    std_val = 24.40
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1504 ;    mean_val =   1414.02 ;    std_val = 25.71
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1507 ;    mean_val =   1406.68 ;    std_val = 29.48
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1507 ;    mean_val =   1400.33 ;    std_val = 27.85
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1507 ;    mean_val =   1394.81 ;    std_val = 27.62
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1507 ;    mean_val =   1398.96 ;    std_val = 32.96
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1507 ;    mean_val =   1390.27 ;    std_val = 34.06
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1507 ;    mean_val =   1385.90 ;    std_val = 31.88
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1507 ;    mean_val =   1381.71 ;    std_val = 31.27
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1507 ;    mean_val =   1383.18 ;    std_val = 30.14
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1507 ;    mean_val =   1375.63 ;    std_val = 25.55
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1339 ;    max_val =  1507 ;    mean_val =   1371.13 ;    std_val = 26.27
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1507 ;    mean_val =   1370.30 ;    std_val = 26.96
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1333 ;    max_val =  1507 ;    mean_val =   1366.64 ;    std_val = 29.00
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1335 ;    max_val =  1480 ;    mean_val =   1360.47 ;    std_val = 23.30
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1333 ;    max_val =  1480 ;    mean_val =   1360.53 ;    std_val = 21.75
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1331 ;    max_val =  1462 ;    mean_val =   1359.06 ;    std_val = 17.25
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1331 ;    max_val =  1400 ;    mean_val =   1358.88 ;    std_val = 15.03
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1331 ;    max_val =  1400 ;    mean_val =   1356.77 ;    std_val = 17.37
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1404 ;    mean_val =   1351.61 ;    std_val = 15.06
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1404 ;    mean_val =   1354.05 ;    std_val = 15.74
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1400 ;    mean_val =   1350.00 ;    std_val = 17.64
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1400 ;    mean_val =   1347.89 ;    std_val = 17.78
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1311 ;    max_val =  1403 ;    mean_val =   1348.62 ;    std_val = 18.02
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1311 ;    max_val =  1403 ;    mean_val =   1340.94 ;    std_val = 17.55
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1311 ;    max_val =  1403 ;    mean_val =   1337.33 ;    std_val = 17.94
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1310 ;    max_val =  1403 ;    mean_val =   1337.10 ;    std_val = 19.71
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1306 ;    max_val =  1400 ;    mean_val =   1334.15 ;    std_val = 16.02
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1308 ;    max_val =  1400 ;    mean_val =   1331.48 ;    std_val = 15.72
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1306 ;    max_val =  1400 ;    mean_val =   1327.94 ;    std_val = 19.21
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1300 ;    max_val =  1394 ;    mean_val =   1322.58 ;    std_val = 16.74
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1394 ;    mean_val =   1321.55 ;    std_val = 15.67
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1394 ;    mean_val =   1321.53 ;    std_val = 16.56
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1304 ;    max_val =  1394 ;    mean_val =   1321.00 ;    std_val = 15.64
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1394 ;    mean_val =   1319.99 ;    std_val = 13.44
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1303 ;    max_val =  1394 ;    mean_val =   1319.38 ;    std_val = 12.57
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1307 ;    max_val =  1409 ;    mean_val =   1320.15 ;    std_val = 14.06
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1410 ;    mean_val =   1318.06 ;    std_val = 16.63
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1300 ;    max_val =  1409 ;    mean_val =   1316.79 ;    std_val = 14.21
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1300 ;    max_val =  1409 ;    mean_val =   1317.64 ;    std_val = 14.65
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1300 ;    max_val =  1377 ;    mean_val =   1314.36 ;    std_val = 10.67
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1377 ;    mean_val =   1313.95 ;    std_val = 11.20
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1346 ;    mean_val =   1312.83 ;    std_val =  8.81
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1301 ;    max_val =  1349 ;    mean_val =   1312.99 ;    std_val = 11.05
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1349 ;    mean_val =   1313.83 ;    std_val = 10.68
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1349 ;    mean_val =   1311.10 ;    std_val =  9.99
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1296 ;    max_val =  1350 ;    mean_val =   1309.39 ;    std_val =  9.55
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1298 ;    max_val =  1346 ;    mean_val =   1308.38 ;    std_val =  8.18
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1293 ;    max_val =  1339 ;    mean_val =   1309.05 ;    std_val =  8.82
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1293 ;    max_val =  1339 ;    mean_val =   1306.35 ;    std_val =  9.40
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1293 ;    max_val =  1339 ;    mean_val =   1305.57 ;    std_val =  8.62
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1291 ;    max_val =  1339 ;    mean_val =   1303.86 ;    std_val =  8.65
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1285 ;    max_val =  1339 ;    mean_val =   1303.79 ;    std_val =  9.92
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1285 ;    max_val =  1341 ;    mean_val =   1303.45 ;    std_val = 11.28
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1285 ;    max_val =  1339 ;    mean_val =   1302.31 ;    std_val = 10.62
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1285 ;    max_val =  1350 ;    mean_val =   1300.36 ;    std_val = 12.76
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1284 ;    max_val =  1346 ;    mean_val =   1300.93 ;    std_val = 12.07
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1281 ;    max_val =  1350 ;    mean_val =   1298.40 ;    std_val = 10.94
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1278 ;    max_val =  1350 ;    mean_val =   1297.02 ;    std_val = 10.98
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1273 ;    max_val =  1346 ;    mean_val =   1294.76 ;    std_val = 10.42
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1276 ;    max_val =  1323 ;    mean_val =   1293.05 ;    std_val =  9.59
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1276 ;    max_val =  1323 ;    mean_val =   1293.55 ;    std_val = 10.79
64: covered = 100 ;    is_min_covered =    1 ;    min_val =  1275 ;    max_val =  1323 ;    mean_val =   1291.64 ;    std_val = 10.51
65: covered = 100 ;    is_min_covered =    1 ;    min_val =  1273 ;    max_val =  1323 ;    mean_val =   1290.62 ;    std_val = 11.93
66: covered = 100 ;    is_min_covered =    1 ;    min_val =  1272 ;    max_val =  1323 ;    mean_val =   1291.02 ;    std_val = 11.47
67: covered = 100 ;    is_min_covered =    1 ;    min_val =  1272 ;    max_val =  1323 ;    mean_val =   1291.64 ;    std_val = 12.05
68: covered = 100 ;    is_min_covered =    1 ;    min_val =  1272 ;    max_val =  1323 ;    mean_val =   1286.38 ;    std_val = 11.37
69: covered = 100 ;    is_min_covered =    1 ;    min_val =  1269 ;    max_val =  1322 ;    mean_val =   1284.32 ;    std_val = 10.01
70: covered = 100 ;    is_min_covered =    1 ;    min_val =  1264 ;    max_val =  1326 ;    mean_val =   1282.88 ;    std_val = 10.19
71: covered = 100 ;    is_min_covered =    1 ;    min_val =  1264 ;    max_val =  1311 ;    mean_val =   1281.67 ;    std_val =  8.48
72: covered = 100 ;    is_min_covered =    1 ;    min_val =  1268 ;    max_val =  1309 ;    mean_val =   1281.75 ;    std_val =  9.27
73: covered = 100 ;    is_min_covered =    1 ;    min_val =  1259 ;    max_val =  1309 ;    mean_val =   1281.21 ;    std_val =  9.97
74: covered = 100 ;    is_min_covered =    1 ;    min_val =  1259 ;    max_val =  1312 ;    mean_val =   1280.18 ;    std_val = 11.44
75: covered = 100 ;    is_min_covered =    1 ;    min_val =  1259 ;    max_val =  1312 ;    mean_val =   1278.89 ;    std_val = 11.22
76: covered = 100 ;    is_min_covered =    1 ;    min_val =  1259 ;    max_val =  1312 ;    mean_val =   1278.61 ;    std_val = 12.56
77: covered = 100 ;    is_min_covered =    1 ;    min_val =  1259 ;    max_val =  1312 ;    mean_val =   1274.09 ;    std_val =  9.84
78: covered = 100 ;    is_min_covered =    1 ;    min_val =  1256 ;    max_val =  1309 ;    mean_val =   1270.88 ;    std_val =  9.44
79: covered = 100 ;    is_min_covered =    1 ;    min_val =  1256 ;    max_val =  1296 ;    mean_val =   1269.48 ;    std_val =  8.42
80: covered = 100 ;    is_min_covered =    1 ;    min_val =  1248 ;    max_val =  1298 ;    mean_val =   1269.01 ;    std_val =  9.40
81: covered = 100 ;    is_min_covered =    1 ;    min_val =  1245 ;    max_val =  1298 ;    mean_val =   1267.31 ;    std_val = 10.31
82: covered = 100 ;    is_min_covered =    1 ;    min_val =  1244 ;    max_val =  1298 ;    mean_val =   1262.70 ;    std_val = 12.29
83: covered = 100 ;    is_min_covered =    1 ;    min_val =  1244 ;    max_val =  1298 ;    mean_val =   1261.03 ;    std_val = 12.33
