0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1504 ;    mean_val =   1447.24 ;    std_val = 28.11
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1516 ;    mean_val =   1446.83 ;    std_val = 26.56
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1516 ;    mean_val =   1448.46 ;    std_val = 24.98
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1516 ;    mean_val =   1447.93 ;    std_val = 31.99
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1516 ;    mean_val =   1448.77 ;    std_val = 31.27
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1516 ;    mean_val =   1442.72 ;    std_val = 30.02
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1516 ;    mean_val =   1435.45 ;    std_val = 28.23
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1516 ;    mean_val =   1427.98 ;    std_val = 25.76
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1503 ;    mean_val =   1425.38 ;    std_val = 24.51
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1497 ;    mean_val =   1422.65 ;    std_val = 25.34
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1476 ;    mean_val =   1422.51 ;    std_val = 25.78
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1476 ;    mean_val =   1420.14 ;    std_val = 25.93
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1484 ;    mean_val =   1416.07 ;    std_val = 27.95
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1484 ;    mean_val =   1415.87 ;    std_val = 26.17
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1485 ;    mean_val =   1410.74 ;    std_val = 26.67
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1484 ;    mean_val =   1410.71 ;    std_val = 25.87
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1484 ;    mean_val =   1415.13 ;    std_val = 25.51
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1463 ;    mean_val =   1410.99 ;    std_val = 22.39
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1475 ;    mean_val =   1412.63 ;    std_val = 21.74
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1475 ;    mean_val =   1409.74 ;    std_val = 24.01
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1468 ;    mean_val =   1410.52 ;    std_val = 22.92
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1458 ;    mean_val =   1410.71 ;    std_val = 20.27
