0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1531 ;    mean_val =   1452.15 ;    std_val = 27.58
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1531 ;    mean_val =   1453.80 ;    std_val = 30.71
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1531 ;    mean_val =   1455.67 ;    std_val = 30.73
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1529 ;    mean_val =   1456.67 ;    std_val = 32.10
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1529 ;    mean_val =   1455.34 ;    std_val = 33.94
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1529 ;    mean_val =   1441.95 ;    std_val = 33.22
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1549 ;    mean_val =   1441.30 ;    std_val = 34.92
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1529 ;    mean_val =   1441.13 ;    std_val = 33.30
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1529 ;    mean_val =   1441.38 ;    std_val = 33.27
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1529 ;    mean_val =   1440.79 ;    std_val = 28.28
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1529 ;    mean_val =   1437.24 ;    std_val = 25.53
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1529 ;    mean_val =   1435.80 ;    std_val = 24.34
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1521 ;    mean_val =   1434.28 ;    std_val = 23.18
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1521 ;    mean_val =   1432.46 ;    std_val = 23.52
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1521 ;    mean_val =   1429.57 ;    std_val = 21.65
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1487 ;    mean_val =   1428.87 ;    std_val = 20.23
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1475 ;    mean_val =   1428.20 ;    std_val = 20.89
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1470 ;    mean_val =   1424.01 ;    std_val = 18.92
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1477 ;    mean_val =   1425.84 ;    std_val = 18.16
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1471 ;    mean_val =   1426.76 ;    std_val = 19.54
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1472 ;    mean_val =   1425.05 ;    std_val = 20.27
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1465 ;    mean_val =   1423.09 ;    std_val = 18.36
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1463 ;    mean_val =   1422.41 ;    std_val = 18.69
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1460 ;    mean_val =   1418.57 ;    std_val = 21.12
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1460 ;    mean_val =   1418.93 ;    std_val = 21.92
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1460 ;    mean_val =   1415.63 ;    std_val = 21.28
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1460 ;    mean_val =   1418.44 ;    std_val = 18.84
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1460 ;    mean_val =   1417.57 ;    std_val = 19.18
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1465 ;    mean_val =   1419.06 ;    std_val = 20.05
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1460 ;    mean_val =   1412.94 ;    std_val = 20.92
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1466 ;    mean_val =   1414.65 ;    std_val = 21.64
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1466 ;    mean_val =   1414.13 ;    std_val = 21.85
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1463 ;    mean_val =   1411.70 ;    std_val = 21.72
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1454 ;    mean_val =   1410.93 ;    std_val = 20.91
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1453 ;    mean_val =   1407.53 ;    std_val = 22.15
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1452 ;    mean_val =   1404.47 ;    std_val = 20.82
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1461 ;    mean_val =   1402.30 ;    std_val = 20.95
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1463 ;    mean_val =   1398.36 ;    std_val = 19.47
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1456 ;    mean_val =   1397.23 ;    std_val = 17.75
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1448 ;    mean_val =   1395.14 ;    std_val = 17.64
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1448 ;    mean_val =   1395.99 ;    std_val = 19.24
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1448 ;    mean_val =   1399.94 ;    std_val = 21.88
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1452 ;    mean_val =   1399.98 ;    std_val = 21.55
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1450 ;    mean_val =   1396.99 ;    std_val = 18.53
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1439 ;    mean_val =   1396.35 ;    std_val = 18.69
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1449 ;    mean_val =   1396.52 ;    std_val = 21.11
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1454 ;    mean_val =   1399.18 ;    std_val = 23.39
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1449 ;    mean_val =   1399.10 ;    std_val = 21.39
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1449 ;    mean_val =   1397.36 ;    std_val = 20.34
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1449 ;    mean_val =   1397.52 ;    std_val = 21.86
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1449 ;    mean_val =   1397.44 ;    std_val = 23.10
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1449 ;    mean_val =   1398.87 ;    std_val = 22.44
