0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1523 ;    mean_val =   1456.67 ;    std_val = 30.81
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1529 ;    mean_val =   1454.25 ;    std_val = 28.77
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1529 ;    mean_val =   1451.81 ;    std_val = 28.98
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1532 ;    mean_val =   1452.04 ;    std_val = 30.51
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1532 ;    mean_val =   1448.55 ;    std_val = 32.01
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1533 ;    mean_val =   1449.47 ;    std_val = 31.49
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1517 ;    mean_val =   1446.16 ;    std_val = 29.77
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1525 ;    mean_val =   1443.02 ;    std_val = 29.29
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1525 ;    mean_val =   1442.86 ;    std_val = 28.49
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1525 ;    mean_val =   1445.09 ;    std_val = 29.40
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1496 ;    mean_val =   1443.55 ;    std_val = 24.45
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1496 ;    mean_val =   1438.89 ;    std_val = 24.78
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1504 ;    mean_val =   1437.40 ;    std_val = 24.27
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1504 ;    mean_val =   1438.61 ;    std_val = 26.91
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1505 ;    mean_val =   1439.53 ;    std_val = 25.98
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1492 ;    mean_val =   1433.94 ;    std_val = 25.27
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1483 ;    mean_val =   1431.24 ;    std_val = 22.94
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1483 ;    mean_val =   1431.50 ;    std_val = 25.48
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1487 ;    mean_val =   1434.71 ;    std_val = 21.53
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1495 ;    mean_val =   1432.48 ;    std_val = 22.96
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1483 ;    mean_val =   1434.90 ;    std_val = 22.14
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1484 ;    mean_val =   1436.32 ;    std_val = 24.37
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1484 ;    mean_val =   1438.14 ;    std_val = 23.10
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1485 ;    mean_val =   1442.37 ;    std_val = 21.72
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1489 ;    mean_val =   1441.68 ;    std_val = 25.00
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1489 ;    mean_val =   1438.62 ;    std_val = 26.52
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1498 ;    mean_val =   1442.03 ;    std_val = 26.64
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1493 ;    mean_val =   1442.73 ;    std_val = 25.03
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1493 ;    mean_val =   1441.69 ;    std_val = 24.15
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1493 ;    mean_val =   1443.75 ;    std_val = 25.09
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1488 ;    mean_val =   1441.70 ;    std_val = 23.38
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1489 ;    mean_val =   1439.62 ;    std_val = 25.23
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1489 ;    mean_val =   1441.93 ;    std_val = 26.19
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1494 ;    mean_val =   1438.50 ;    std_val = 26.80
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1494 ;    mean_val =   1435.88 ;    std_val = 25.91
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1489 ;    mean_val =   1437.44 ;    std_val = 26.14
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1489 ;    mean_val =   1437.79 ;    std_val = 24.72
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1491 ;    mean_val =   1439.76 ;    std_val = 25.54
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1491 ;    mean_val =   1441.72 ;    std_val = 28.28
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1490 ;    mean_val =   1441.00 ;    std_val = 26.91
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1519 ;    mean_val =   1437.88 ;    std_val = 27.20
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1490 ;    mean_val =   1436.83 ;    std_val = 25.08
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1490 ;    mean_val =   1440.44 ;    std_val = 25.24
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1490 ;    mean_val =   1437.12 ;    std_val = 24.00
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1485 ;    mean_val =   1434.64 ;    std_val = 24.39
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1485 ;    mean_val =   1433.53 ;    std_val = 23.84
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1478 ;    mean_val =   1438.42 ;    std_val = 20.75
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1481 ;    mean_val =   1440.07 ;    std_val = 20.26
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1485 ;    mean_val =   1443.05 ;    std_val = 19.84
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1515 ;    mean_val =   1445.09 ;    std_val = 24.85
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1501 ;    mean_val =   1444.73 ;    std_val = 25.98
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1488 ;    mean_val =   1443.53 ;    std_val = 24.21
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1489 ;    mean_val =   1443.49 ;    std_val = 22.56
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1489 ;    mean_val =   1444.58 ;    std_val = 24.21
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1489 ;    mean_val =   1445.94 ;    std_val = 23.46
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1489 ;    mean_val =   1444.36 ;    std_val = 23.60
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1492 ;    mean_val =   1443.10 ;    std_val = 21.93
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1492 ;    mean_val =   1444.64 ;    std_val = 21.40
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1503 ;    mean_val =   1444.83 ;    std_val = 21.35
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1490 ;    mean_val =   1442.07 ;    std_val = 20.76
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1501 ;    mean_val =   1443.37 ;    std_val = 22.91
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1501 ;    mean_val =   1441.88 ;    std_val = 22.74
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1502 ;    mean_val =   1439.93 ;    std_val = 22.72
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1502 ;    mean_val =   1439.77 ;    std_val = 22.76
64: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1506 ;    mean_val =   1440.70 ;    std_val = 23.92
65: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1507 ;    mean_val =   1442.89 ;    std_val = 26.09
66: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1507 ;    mean_val =   1440.13 ;    std_val = 24.17
67: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1501 ;    mean_val =   1435.47 ;    std_val = 20.72
68: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1494 ;    mean_val =   1433.68 ;    std_val = 20.65
69: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1501 ;    mean_val =   1435.59 ;    std_val = 22.09
70: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1495 ;    mean_val =   1431.44 ;    std_val = 20.91
71: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1494 ;    mean_val =   1435.55 ;    std_val = 23.41
72: covered = 100 ;    is_min_covered =    1 ;    min_val =  1403 ;    max_val =  1494 ;    mean_val =   1438.33 ;    std_val = 25.44
73: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1494 ;    mean_val =   1438.61 ;    std_val = 25.20
74: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1494 ;    mean_val =   1443.47 ;    std_val = 24.31
75: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1502 ;    mean_val =   1439.69 ;    std_val = 24.11
76: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1515 ;    mean_val =   1440.07 ;    std_val = 25.79
77: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1515 ;    mean_val =   1440.25 ;    std_val = 23.99
78: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1515 ;    mean_val =   1438.60 ;    std_val = 25.19
79: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1515 ;    mean_val =   1436.10 ;    std_val = 24.84
80: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1518 ;    mean_val =   1437.87 ;    std_val = 23.49
81: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1518 ;    mean_val =   1438.37 ;    std_val = 26.48
82: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1518 ;    mean_val =   1438.19 ;    std_val = 24.70
83: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1506 ;    mean_val =   1436.90 ;    std_val = 22.35
84: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1506 ;    mean_val =   1437.21 ;    std_val = 24.76
85: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1491 ;    mean_val =   1435.23 ;    std_val = 23.45
86: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1493 ;    mean_val =   1434.52 ;    std_val = 25.43
