0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1510 ;    mean_val =   1445.42 ;    std_val = 29.53
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1510 ;    mean_val =   1446.13 ;    std_val = 27.20
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1521 ;    mean_val =   1446.00 ;    std_val = 27.68
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1525 ;    mean_val =   1445.12 ;    std_val = 28.77
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1492 ;    mean_val =   1437.55 ;    std_val = 24.44
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1503 ;    mean_val =   1437.43 ;    std_val = 26.63
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1505 ;    mean_val =   1437.39 ;    std_val = 27.80
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1509 ;    mean_val =   1435.66 ;    std_val = 29.83
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1508 ;    mean_val =   1435.64 ;    std_val = 30.12
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1521 ;    mean_val =   1437.11 ;    std_val = 34.07
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1530 ;    mean_val =   1441.25 ;    std_val = 31.88
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1530 ;    mean_val =   1445.89 ;    std_val = 27.52
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1530 ;    mean_val =   1443.64 ;    std_val = 29.57
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1530 ;    mean_val =   1447.06 ;    std_val = 29.11
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1530 ;    mean_val =   1442.16 ;    std_val = 28.47
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1530 ;    mean_val =   1436.61 ;    std_val = 26.17
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1530 ;    mean_val =   1439.80 ;    std_val = 31.19
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1514 ;    mean_val =   1443.14 ;    std_val = 28.71
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1505 ;    mean_val =   1437.24 ;    std_val = 27.58
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1505 ;    mean_val =   1437.56 ;    std_val = 29.56
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1505 ;    mean_val =   1435.04 ;    std_val = 24.84
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1505 ;    mean_val =   1433.22 ;    std_val = 22.84
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1497 ;    mean_val =   1431.92 ;    std_val = 23.01
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1497 ;    mean_val =   1430.73 ;    std_val = 24.75
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1497 ;    mean_val =   1429.88 ;    std_val = 26.62
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1502 ;    mean_val =   1432.16 ;    std_val = 28.56
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1503 ;    mean_val =   1433.60 ;    std_val = 29.57
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1506 ;    mean_val =   1431.15 ;    std_val = 28.32
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1510 ;    mean_val =   1434.00 ;    std_val = 29.11
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1510 ;    mean_val =   1435.99 ;    std_val = 30.75
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1510 ;    mean_val =   1439.32 ;    std_val = 32.13
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1510 ;    mean_val =   1436.40 ;    std_val = 34.92
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1510 ;    mean_val =   1433.00 ;    std_val = 30.83
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1510 ;    mean_val =   1429.07 ;    std_val = 30.95
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1510 ;    mean_val =   1427.48 ;    std_val = 25.91
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1510 ;    mean_val =   1423.71 ;    std_val = 24.83
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1510 ;    mean_val =   1424.85 ;    std_val = 23.62
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1510 ;    mean_val =   1423.31 ;    std_val = 25.50
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1503 ;    mean_val =   1422.83 ;    std_val = 24.83
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1503 ;    mean_val =   1421.85 ;    std_val = 25.06
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1503 ;    mean_val =   1421.57 ;    std_val = 26.13
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1503 ;    mean_val =   1421.83 ;    std_val = 26.87
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1487 ;    mean_val =   1420.26 ;    std_val = 23.57
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1478 ;    mean_val =   1421.19 ;    std_val = 23.57
