0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1511 ;    mean_val =   1452.82 ;    std_val = 24.67
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1517 ;    mean_val =   1456.29 ;    std_val = 27.62
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1510 ;    mean_val =   1451.10 ;    std_val = 26.46
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1512 ;    mean_val =   1448.35 ;    std_val = 27.32
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1512 ;    mean_val =   1448.11 ;    std_val = 26.04
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1512 ;    mean_val =   1449.91 ;    std_val = 23.38
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1512 ;    mean_val =   1450.21 ;    std_val = 25.29
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1402 ;    max_val =  1520 ;    mean_val =   1450.58 ;    std_val = 26.10
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1512 ;    mean_val =   1448.22 ;    std_val = 23.50
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1514 ;    mean_val =   1446.78 ;    std_val = 22.55
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1523 ;    mean_val =   1444.90 ;    std_val = 23.01
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1483 ;    mean_val =   1443.36 ;    std_val = 20.94
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1497 ;    mean_val =   1445.22 ;    std_val = 21.95
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1490 ;    mean_val =   1442.76 ;    std_val = 20.55
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1490 ;    mean_val =   1441.68 ;    std_val = 22.38
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1490 ;    mean_val =   1438.16 ;    std_val = 23.99
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1490 ;    mean_val =   1438.89 ;    std_val = 25.19
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1490 ;    mean_val =   1440.16 ;    std_val = 27.41
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1490 ;    mean_val =   1440.97 ;    std_val = 27.46
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1499 ;    mean_val =   1441.20 ;    std_val = 28.40
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1501 ;    mean_val =   1438.08 ;    std_val = 29.32
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1501 ;    mean_val =   1435.93 ;    std_val = 28.19
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1501 ;    mean_val =   1432.23 ;    std_val = 27.24
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1509 ;    mean_val =   1434.47 ;    std_val = 27.44
