0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1516 ;    mean_val =   1455.31 ;    std_val = 29.01
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1516 ;    mean_val =   1453.14 ;    std_val = 29.61
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1516 ;    mean_val =   1449.84 ;    std_val = 27.24
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1505 ;    mean_val =   1445.19 ;    std_val = 25.51
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1505 ;    mean_val =   1442.13 ;    std_val = 25.09
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1505 ;    mean_val =   1444.05 ;    std_val = 24.63
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1516 ;    mean_val =   1442.15 ;    std_val = 24.27
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1511 ;    mean_val =   1439.74 ;    std_val = 25.88
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1402 ;    max_val =  1511 ;    mean_val =   1441.33 ;    std_val = 23.75
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1511 ;    mean_val =   1443.48 ;    std_val = 24.02
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1511 ;    mean_val =   1440.79 ;    std_val = 24.07
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1509 ;    mean_val =   1440.29 ;    std_val = 24.52
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1511 ;    mean_val =   1438.01 ;    std_val = 22.55
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1512 ;    mean_val =   1434.53 ;    std_val = 23.59
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1512 ;    mean_val =   1437.28 ;    std_val = 27.87
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1511 ;    mean_val =   1436.78 ;    std_val = 27.06
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1511 ;    mean_val =   1438.50 ;    std_val = 26.25
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1514 ;    mean_val =   1436.51 ;    std_val = 23.69
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1514 ;    mean_val =   1435.44 ;    std_val = 21.72
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1507 ;    mean_val =   1435.11 ;    std_val = 22.70
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1507 ;    mean_val =   1433.90 ;    std_val = 22.65
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1507 ;    mean_val =   1434.24 ;    std_val = 21.23
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1507 ;    mean_val =   1434.32 ;    std_val = 22.55
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1507 ;    mean_val =   1436.45 ;    std_val = 22.03
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1494 ;    mean_val =   1435.90 ;    std_val = 21.80
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1496 ;    mean_val =   1438.20 ;    std_val = 23.61
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1496 ;    mean_val =   1438.81 ;    std_val = 23.02
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1496 ;    mean_val =   1435.82 ;    std_val = 25.16
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1496 ;    mean_val =   1430.90 ;    std_val = 26.45
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1496 ;    mean_val =   1428.31 ;    std_val = 24.83
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1482 ;    mean_val =   1423.92 ;    std_val = 25.00
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1493 ;    mean_val =   1425.59 ;    std_val = 25.66
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1490 ;    mean_val =   1427.73 ;    std_val = 27.04
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1487 ;    mean_val =   1424.49 ;    std_val = 26.39
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1484 ;    mean_val =   1424.90 ;    std_val = 27.91
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1484 ;    mean_val =   1423.24 ;    std_val = 27.94
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1485 ;    mean_val =   1423.00 ;    std_val = 27.27
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1485 ;    mean_val =   1426.76 ;    std_val = 24.30
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1468 ;    mean_val =   1423.14 ;    std_val = 24.68
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1471 ;    mean_val =   1417.03 ;    std_val = 26.53
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1467 ;    mean_val =   1419.32 ;    std_val = 27.48
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1464 ;    mean_val =   1414.33 ;    std_val = 27.01
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1463 ;    mean_val =   1411.66 ;    std_val = 25.79
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1463 ;    mean_val =   1412.68 ;    std_val = 27.27
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1468 ;    mean_val =   1408.99 ;    std_val = 30.12
