0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1504 ;    mean_val =   1448.78 ;    std_val = 27.94
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1519 ;    mean_val =   1451.30 ;    std_val = 25.93
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1508 ;    mean_val =   1447.61 ;    std_val = 27.24
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1498 ;    mean_val =   1441.32 ;    std_val = 26.48
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1498 ;    mean_val =   1440.73 ;    std_val = 27.70
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1498 ;    mean_val =   1438.76 ;    std_val = 26.67
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1499 ;    mean_val =   1436.62 ;    std_val = 28.16
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1509 ;    mean_val =   1431.45 ;    std_val = 29.15
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1507 ;    mean_val =   1432.58 ;    std_val = 30.31
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1507 ;    mean_val =   1435.74 ;    std_val = 30.69
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1494 ;    mean_val =   1431.23 ;    std_val = 28.79
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1494 ;    mean_val =   1426.33 ;    std_val = 28.35
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1494 ;    mean_val =   1423.31 ;    std_val = 28.94
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1494 ;    mean_val =   1421.13 ;    std_val = 29.76
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1487 ;    mean_val =   1422.01 ;    std_val = 29.42
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1483 ;    mean_val =   1421.58 ;    std_val = 26.40
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1461 ;    mean_val =   1419.78 ;    std_val = 24.32
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1471 ;    mean_val =   1424.05 ;    std_val = 25.10
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1489 ;    mean_val =   1425.32 ;    std_val = 27.43
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1471 ;    mean_val =   1425.41 ;    std_val = 23.96
