0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1507 ;    mean_val =   1451.80 ;    std_val = 25.49
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1510 ;    mean_val =   1451.13 ;    std_val = 26.66
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1510 ;    mean_val =   1451.69 ;    std_val = 27.37
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1510 ;    mean_val =   1445.34 ;    std_val = 24.73
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1503 ;    mean_val =   1441.88 ;    std_val = 24.38
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1503 ;    mean_val =   1440.67 ;    std_val = 23.52
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1503 ;    mean_val =   1439.29 ;    std_val = 23.80
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1496 ;    mean_val =   1438.41 ;    std_val = 24.83
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1497 ;    mean_val =   1437.84 ;    std_val = 24.46
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1484 ;    mean_val =   1435.21 ;    std_val = 24.68
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1472 ;    mean_val =   1432.26 ;    std_val = 21.46
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1480 ;    mean_val =   1430.48 ;    std_val = 22.21
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1487 ;    mean_val =   1433.37 ;    std_val = 21.73
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1484 ;    mean_val =   1436.69 ;    std_val = 21.12
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1486 ;    mean_val =   1437.77 ;    std_val = 22.45
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1485 ;    mean_val =   1436.30 ;    std_val = 21.88
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1485 ;    mean_val =   1436.48 ;    std_val = 23.36
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1483 ;    mean_val =   1435.16 ;    std_val = 23.29
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1489 ;    mean_val =   1436.45 ;    std_val = 23.25
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1485 ;    mean_val =   1433.17 ;    std_val = 21.96
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1485 ;    mean_val =   1436.38 ;    std_val = 23.21
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1485 ;    mean_val =   1437.88 ;    std_val = 22.90
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1486 ;    mean_val =   1441.95 ;    std_val = 23.28
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1492 ;    mean_val =   1438.17 ;    std_val = 24.32
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1493 ;    mean_val =   1437.68 ;    std_val = 25.38
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1493 ;    mean_val =   1437.01 ;    std_val = 23.30
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1507 ;    mean_val =   1438.12 ;    std_val = 21.63
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1498 ;    mean_val =   1437.13 ;    std_val = 21.15
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1500 ;    mean_val =   1436.91 ;    std_val = 24.07
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1488 ;    mean_val =   1436.68 ;    std_val = 23.58
