0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1508 ;    mean_val =   1450.80 ;    std_val = 24.14
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1401 ;    max_val =  1497 ;    mean_val =   1453.97 ;    std_val = 24.12
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1508 ;    mean_val =   1451.56 ;    std_val = 25.32
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1503 ;    mean_val =   1448.42 ;    std_val = 26.94
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1502 ;    mean_val =   1451.00 ;    std_val = 24.93
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1508 ;    mean_val =   1449.93 ;    std_val = 26.17
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1500 ;    mean_val =   1447.72 ;    std_val = 26.90
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1512 ;    mean_val =   1444.08 ;    std_val = 28.35
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1512 ;    mean_val =   1446.03 ;    std_val = 28.73
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1525 ;    mean_val =   1450.29 ;    std_val = 26.87
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1512 ;    mean_val =   1451.40 ;    std_val = 23.27
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1512 ;    mean_val =   1453.29 ;    std_val = 26.01
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1502 ;    mean_val =   1449.47 ;    std_val = 24.67
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1501 ;    mean_val =   1450.86 ;    std_val = 25.41
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1497 ;    mean_val =   1449.34 ;    std_val = 23.46
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1506 ;    mean_val =   1449.99 ;    std_val = 24.69
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1506 ;    mean_val =   1447.10 ;    std_val = 24.72
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1506 ;    mean_val =   1449.20 ;    std_val = 25.35
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1506 ;    mean_val =   1449.52 ;    std_val = 25.69
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1506 ;    mean_val =   1453.21 ;    std_val = 21.74
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1510 ;    mean_val =   1455.41 ;    std_val = 21.55
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1405 ;    max_val =  1510 ;    mean_val =   1455.36 ;    std_val = 22.29
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1510 ;    mean_val =   1456.66 ;    std_val = 24.89
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1510 ;    mean_val =   1459.74 ;    std_val = 25.53
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1412 ;    max_val =  1523 ;    mean_val =   1458.26 ;    std_val = 25.53
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1411 ;    max_val =  1510 ;    mean_val =   1455.90 ;    std_val = 22.72
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1510 ;    mean_val =   1456.31 ;    std_val = 23.15
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1412 ;    max_val =  1510 ;    mean_val =   1455.67 ;    std_val = 24.59
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1510 ;    mean_val =   1454.83 ;    std_val = 24.12
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1519 ;    mean_val =   1458.75 ;    std_val = 28.71
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1408 ;    max_val =  1515 ;    mean_val =   1457.07 ;    std_val = 28.07
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1411 ;    max_val =  1510 ;    mean_val =   1451.96 ;    std_val = 27.81
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1510 ;    mean_val =   1449.50 ;    std_val = 26.42
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1510 ;    mean_val =   1449.79 ;    std_val = 26.72
