0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1520 ;    mean_val =   1447.17 ;    std_val = 23.29
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1520 ;    mean_val =   1448.55 ;    std_val = 23.44
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1403 ;    max_val =  1520 ;    mean_val =   1450.83 ;    std_val = 21.64
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1403 ;    max_val =  1520 ;    mean_val =   1446.78 ;    std_val = 21.35
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1520 ;    mean_val =   1447.64 ;    std_val = 22.90
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1513 ;    mean_val =   1442.74 ;    std_val = 20.72
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1513 ;    mean_val =   1441.10 ;    std_val = 20.87
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1403 ;    max_val =  1518 ;    mean_val =   1442.32 ;    std_val = 19.67
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1518 ;    mean_val =   1443.46 ;    std_val = 21.56
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1518 ;    mean_val =   1445.77 ;    std_val = 23.47
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1518 ;    mean_val =   1449.23 ;    std_val = 24.76
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1518 ;    mean_val =   1444.79 ;    std_val = 24.74
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1514 ;    mean_val =   1449.10 ;    std_val = 24.68
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1500 ;    mean_val =   1450.13 ;    std_val = 24.23
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1500 ;    mean_val =   1448.44 ;    std_val = 23.51
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1506 ;    mean_val =   1448.76 ;    std_val = 23.65
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1506 ;    mean_val =   1450.28 ;    std_val = 24.16
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1397 ;    max_val =  1508 ;    mean_val =   1449.79 ;    std_val = 26.34
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1508 ;    mean_val =   1449.00 ;    std_val = 25.99
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1403 ;    max_val =  1513 ;    mean_val =   1448.36 ;    std_val = 27.80
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1507 ;    mean_val =   1444.24 ;    std_val = 26.80
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1507 ;    mean_val =   1446.55 ;    std_val = 28.24
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1502 ;    mean_val =   1447.60 ;    std_val = 29.24
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1502 ;    mean_val =   1448.95 ;    std_val = 27.41
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1512 ;    mean_val =   1449.75 ;    std_val = 28.25
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1512 ;    mean_val =   1447.04 ;    std_val = 28.32
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1512 ;    mean_val =   1447.04 ;    std_val = 27.07
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1508 ;    mean_val =   1444.47 ;    std_val = 24.65
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1501 ;    mean_val =   1448.04 ;    std_val = 25.00
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1501 ;    mean_val =   1449.21 ;    std_val = 27.09
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1501 ;    mean_val =   1443.09 ;    std_val = 30.71
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1501 ;    mean_val =   1441.21 ;    std_val = 26.74
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1497 ;    mean_val =   1440.93 ;    std_val = 25.79
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1495 ;    mean_val =   1436.92 ;    std_val = 25.83
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1495 ;    mean_val =   1438.97 ;    std_val = 26.88
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1496 ;    mean_val =   1440.85 ;    std_val = 29.51
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1499 ;    mean_val =   1434.61 ;    std_val = 29.51
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1495 ;    mean_val =   1432.99 ;    std_val = 28.65
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1495 ;    mean_val =   1433.87 ;    std_val = 26.09
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1495 ;    mean_val =   1429.85 ;    std_val = 25.54
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1495 ;    mean_val =   1425.72 ;    std_val = 25.52
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1495 ;    mean_val =   1424.55 ;    std_val = 25.64
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1495 ;    mean_val =   1429.88 ;    std_val = 28.62
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1495 ;    mean_val =   1429.04 ;    std_val = 27.98
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1503 ;    mean_val =   1429.15 ;    std_val = 28.13
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1495 ;    mean_val =   1424.83 ;    std_val = 24.42
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1497 ;    mean_val =   1424.23 ;    std_val = 24.25
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1497 ;    mean_val =   1423.73 ;    std_val = 25.72
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1510 ;    mean_val =   1421.13 ;    std_val = 25.39
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1510 ;    mean_val =   1423.23 ;    std_val = 26.63
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1482 ;    mean_val =   1428.38 ;    std_val = 26.90
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1482 ;    mean_val =   1425.82 ;    std_val = 26.27
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1482 ;    mean_val =   1429.33 ;    std_val = 25.27
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1485 ;    mean_val =   1425.95 ;    std_val = 26.37
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1494 ;    mean_val =   1421.91 ;    std_val = 25.33
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1482 ;    mean_val =   1416.71 ;    std_val = 21.49
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1482 ;    mean_val =   1416.21 ;    std_val = 20.66
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1464 ;    mean_val =   1411.64 ;    std_val = 18.44
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1464 ;    mean_val =   1411.64 ;    std_val = 18.66
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1449 ;    mean_val =   1409.93 ;    std_val = 16.93
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1449 ;    mean_val =   1411.00 ;    std_val = 16.84
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1449 ;    mean_val =   1415.56 ;    std_val = 18.39
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1452 ;    mean_val =   1415.79 ;    std_val = 21.78
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1468 ;    mean_val =   1419.95 ;    std_val = 20.71
