0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1510 ;    mean_val =   1446.75 ;    std_val = 25.09
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1500 ;    mean_val =   1445.34 ;    std_val = 24.50
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1500 ;    mean_val =   1440.18 ;    std_val = 25.87
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1500 ;    mean_val =   1443.41 ;    std_val = 29.65
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1500 ;    mean_val =   1442.32 ;    std_val = 32.09
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1502 ;    mean_val =   1438.32 ;    std_val = 36.12
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1502 ;    mean_val =   1437.27 ;    std_val = 35.77
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1516 ;    mean_val =   1437.08 ;    std_val = 33.48
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1500 ;    mean_val =   1435.73 ;    std_val = 30.54
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1500 ;    mean_val =   1436.83 ;    std_val = 31.98
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1501 ;    mean_val =   1436.23 ;    std_val = 32.81
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1501 ;    mean_val =   1443.55 ;    std_val = 32.58
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1526 ;    mean_val =   1441.94 ;    std_val = 32.64
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1526 ;    mean_val =   1442.32 ;    std_val = 31.43
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1526 ;    mean_val =   1442.04 ;    std_val = 31.33
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1515 ;    mean_val =   1448.08 ;    std_val = 30.82
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1515 ;    mean_val =   1452.51 ;    std_val = 36.24
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1515 ;    mean_val =   1449.75 ;    std_val = 36.97
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1509 ;    mean_val =   1445.20 ;    std_val = 35.15
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1511 ;    mean_val =   1448.14 ;    std_val = 34.17
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1527 ;    mean_val =   1447.07 ;    std_val = 33.28
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1511 ;    mean_val =   1451.94 ;    std_val = 30.38
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1512 ;    mean_val =   1449.39 ;    std_val = 31.43
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1514 ;    mean_val =   1446.83 ;    std_val = 34.48
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1512 ;    mean_val =   1440.36 ;    std_val = 34.71
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1512 ;    mean_val =   1442.67 ;    std_val = 32.37
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1512 ;    mean_val =   1443.24 ;    std_val = 33.06
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1372 ;    max_val =  1514 ;    mean_val =   1444.01 ;    std_val = 32.45
