0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1506 ;    mean_val =   1445.24 ;    std_val = 27.52
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1506 ;    mean_val =   1446.00 ;    std_val = 24.27
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1506 ;    mean_val =   1445.69 ;    std_val = 22.77
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1491 ;    mean_val =   1443.24 ;    std_val = 21.86
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1496 ;    mean_val =   1441.59 ;    std_val = 22.40
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1496 ;    mean_val =   1442.50 ;    std_val = 25.55
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1496 ;    mean_val =   1442.94 ;    std_val = 23.34
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1497 ;    mean_val =   1442.32 ;    std_val = 21.12
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1410 ;    max_val =  1497 ;    mean_val =   1443.20 ;    std_val = 20.72
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1495 ;    mean_val =   1444.12 ;    std_val = 21.82
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1493 ;    mean_val =   1439.50 ;    std_val = 24.05
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1488 ;    mean_val =   1440.43 ;    std_val = 20.81
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1488 ;    mean_val =   1442.02 ;    std_val = 20.23
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1496 ;    mean_val =   1442.11 ;    std_val = 21.08
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1496 ;    mean_val =   1441.40 ;    std_val = 22.07
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1496 ;    mean_val =   1442.45 ;    std_val = 22.05
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1493 ;    mean_val =   1437.42 ;    std_val = 20.13
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1493 ;    mean_val =   1437.14 ;    std_val = 23.50
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1493 ;    mean_val =   1438.78 ;    std_val = 25.56
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1491 ;    mean_val =   1438.11 ;    std_val = 25.25
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1505 ;    mean_val =   1443.70 ;    std_val = 27.94
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1505 ;    mean_val =   1441.49 ;    std_val = 29.10
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1505 ;    mean_val =   1443.56 ;    std_val = 27.00
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1511 ;    mean_val =   1450.76 ;    std_val = 26.56
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1511 ;    mean_val =   1451.13 ;    std_val = 29.02
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1522 ;    mean_val =   1450.37 ;    std_val = 30.58
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1522 ;    mean_val =   1452.91 ;    std_val = 29.33
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1522 ;    mean_val =   1452.28 ;    std_val = 29.24
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1522 ;    mean_val =   1453.83 ;    std_val = 31.39
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1522 ;    mean_val =   1455.06 ;    std_val = 32.94
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1522 ;    mean_val =   1451.92 ;    std_val = 35.88
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1522 ;    mean_val =   1445.67 ;    std_val = 30.03
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1522 ;    mean_val =   1440.07 ;    std_val = 28.04
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1516 ;    mean_val =   1438.63 ;    std_val = 24.97
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1510 ;    mean_val =   1436.87 ;    std_val = 26.01
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1503 ;    mean_val =   1436.56 ;    std_val = 25.10
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1510 ;    mean_val =   1438.62 ;    std_val = 26.41
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1513 ;    mean_val =   1441.71 ;    std_val = 28.68
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1510 ;    mean_val =   1443.98 ;    std_val = 31.28
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1510 ;    mean_val =   1441.37 ;    std_val = 26.18
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1400 ;    max_val =  1510 ;    mean_val =   1443.92 ;    std_val = 23.19
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1510 ;    mean_val =   1443.19 ;    std_val = 20.37
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1409 ;    max_val =  1510 ;    mean_val =   1443.77 ;    std_val = 20.16
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1409 ;    max_val =  1500 ;    mean_val =   1443.02 ;    std_val = 19.51
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1500 ;    mean_val =   1441.28 ;    std_val = 19.51
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1500 ;    mean_val =   1442.61 ;    std_val = 20.07
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1492 ;    mean_val =   1441.78 ;    std_val = 18.91
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1489 ;    mean_val =   1439.97 ;    std_val = 18.33
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1395 ;    max_val =  1489 ;    mean_val =   1441.11 ;    std_val = 18.58
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1402 ;    max_val =  1489 ;    mean_val =   1442.02 ;    std_val = 18.88
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1402 ;    max_val =  1480 ;    mean_val =   1440.11 ;    std_val = 17.88
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1480 ;    mean_val =   1438.43 ;    std_val = 16.45
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1483 ;    mean_val =   1437.25 ;    std_val = 16.37
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1480 ;    mean_val =   1437.10 ;    std_val = 17.79
