0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1398 ;    max_val =  1542 ;    mean_val =   1456.31 ;    std_val = 27.94
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1542 ;    mean_val =   1452.87 ;    std_val = 30.89
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1521 ;    mean_val =   1452.11 ;    std_val = 28.16
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1516 ;    mean_val =   1459.57 ;    std_val = 28.67
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1406 ;    max_val =  1509 ;    mean_val =   1450.35 ;    std_val = 26.60
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1409 ;    max_val =  1513 ;    mean_val =   1446.15 ;    std_val = 26.57
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1411 ;    max_val =  1528 ;    mean_val =   1441.20 ;    std_val = 24.30
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1409 ;    max_val =  1481 ;    mean_val =   1435.91 ;    std_val = 19.46
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1481 ;    mean_val =   1434.17 ;    std_val = 17.92
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1407 ;    max_val =  1485 ;    mean_val =   1433.32 ;    std_val = 18.20
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1404 ;    max_val =  1485 ;    mean_val =   1430.49 ;    std_val = 17.19
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1479 ;    mean_val =   1430.17 ;    std_val = 15.22
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1475 ;    mean_val =   1428.78 ;    std_val = 15.83
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1393 ;    max_val =  1475 ;    mean_val =   1425.17 ;    std_val = 14.45
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1399 ;    max_val =  1460 ;    mean_val =   1425.66 ;    std_val = 15.39
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1481 ;    mean_val =   1427.73 ;    std_val = 17.10
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1481 ;    mean_val =   1429.87 ;    std_val = 18.47
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1481 ;    mean_val =   1428.21 ;    std_val = 20.85
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1482 ;    mean_val =   1426.18 ;    std_val = 20.50
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1481 ;    mean_val =   1425.05 ;    std_val = 20.89
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1481 ;    mean_val =   1423.01 ;    std_val = 21.07
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1481 ;    mean_val =   1415.83 ;    std_val = 17.89
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1481 ;    mean_val =   1414.92 ;    std_val = 20.47
