0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1505 ;    mean_val =   1446.40 ;    std_val = 24.38
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1505 ;    mean_val =   1435.80 ;    std_val = 26.29
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1505 ;    mean_val =   1425.59 ;    std_val = 26.62
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1505 ;    mean_val =   1419.99 ;    std_val = 25.77
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1485 ;    mean_val =   1416.65 ;    std_val = 26.27
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1482 ;    mean_val =   1408.03 ;    std_val = 29.43
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1473 ;    mean_val =   1404.09 ;    std_val = 29.40
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1476 ;    mean_val =   1401.05 ;    std_val = 29.30
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1485 ;    mean_val =   1399.02 ;    std_val = 33.52
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1342 ;    max_val =  1476 ;    mean_val =   1394.06 ;    std_val = 32.83
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1345 ;    max_val =  1476 ;    mean_val =   1385.10 ;    std_val = 31.59
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1476 ;    mean_val =   1375.67 ;    std_val = 29.58
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1340 ;    max_val =  1473 ;    mean_val =   1370.63 ;    std_val = 26.43
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1341 ;    max_val =  1478 ;    mean_val =   1371.22 ;    std_val = 27.91
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1322 ;    max_val =  1473 ;    mean_val =   1366.20 ;    std_val = 25.74
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1334 ;    max_val =  1473 ;    mean_val =   1367.05 ;    std_val = 25.49
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1332 ;    max_val =  1473 ;    mean_val =   1363.56 ;    std_val = 25.13
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1473 ;    mean_val =   1358.94 ;    std_val = 23.63
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1473 ;    mean_val =   1357.28 ;    std_val = 21.43
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1473 ;    mean_val =   1356.37 ;    std_val = 23.95
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1473 ;    mean_val =   1356.81 ;    std_val = 23.32
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1473 ;    mean_val =   1353.73 ;    std_val = 26.01
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1315 ;    max_val =  1473 ;    mean_val =   1353.49 ;    std_val = 27.29
