0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1498 ;    mean_val =   1448.89 ;    std_val = 26.79
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1498 ;    mean_val =   1443.36 ;    std_val = 28.81
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1498 ;    mean_val =   1443.11 ;    std_val = 27.61
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1506 ;    mean_val =   1443.86 ;    std_val = 28.57
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1504 ;    mean_val =   1443.31 ;    std_val = 25.67
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1527 ;    mean_val =   1446.22 ;    std_val = 28.04
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1504 ;    mean_val =   1445.51 ;    std_val = 27.09
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1500 ;    mean_val =   1440.51 ;    std_val = 29.12
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1495 ;    mean_val =   1434.05 ;    std_val = 33.20
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1495 ;    mean_val =   1427.13 ;    std_val = 34.50
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1495 ;    mean_val =   1426.57 ;    std_val = 32.62
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1483 ;    mean_val =   1422.90 ;    std_val = 32.80
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1360 ;    max_val =  1478 ;    mean_val =   1416.06 ;    std_val = 33.95
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1472 ;    mean_val =   1416.36 ;    std_val = 31.89
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1472 ;    mean_val =   1418.41 ;    std_val = 29.55
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1474 ;    mean_val =   1419.72 ;    std_val = 30.41
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1477 ;    mean_val =   1420.66 ;    std_val = 29.22
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1352 ;    max_val =  1474 ;    mean_val =   1419.87 ;    std_val = 29.34
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1474 ;    mean_val =   1420.13 ;    std_val = 32.68
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1474 ;    mean_val =   1418.82 ;    std_val = 28.72
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1365 ;    max_val =  1470 ;    mean_val =   1419.48 ;    std_val = 29.36
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1494 ;    mean_val =   1416.47 ;    std_val = 28.81
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1368 ;    max_val =  1494 ;    mean_val =   1412.16 ;    std_val = 28.70
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1470 ;    mean_val =   1407.57 ;    std_val = 27.09
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1460 ;    mean_val =   1402.37 ;    std_val = 24.91
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1460 ;    mean_val =   1399.34 ;    std_val = 23.25
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1456 ;    mean_val =   1398.14 ;    std_val = 22.84
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1456 ;    mean_val =   1398.07 ;    std_val = 22.43
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1456 ;    mean_val =   1399.35 ;    std_val = 23.40
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1456 ;    mean_val =   1401.09 ;    std_val = 22.59
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1456 ;    mean_val =   1405.16 ;    std_val = 22.36
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1449 ;    mean_val =   1399.70 ;    std_val = 18.88
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1449 ;    mean_val =   1398.09 ;    std_val = 18.36
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1449 ;    mean_val =   1399.48 ;    std_val = 20.43
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1472 ;    mean_val =   1397.74 ;    std_val = 21.02
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1356 ;    max_val =  1448 ;    mean_val =   1397.48 ;    std_val = 18.56
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1353 ;    max_val =  1448 ;    mean_val =   1393.49 ;    std_val = 18.14
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1436 ;    mean_val =   1392.60 ;    std_val = 17.57
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1439 ;    mean_val =   1389.50 ;    std_val = 16.81
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1363 ;    max_val =  1439 ;    mean_val =   1391.39 ;    std_val = 18.16
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1439 ;    mean_val =   1393.00 ;    std_val = 20.30
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1359 ;    max_val =  1431 ;    mean_val =   1389.97 ;    std_val = 18.57
