0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1527 ;    mean_val =   1451.68 ;    std_val = 36.97
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1527 ;    mean_val =   1452.18 ;    std_val = 37.51
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1370 ;    max_val =  1527 ;    mean_val =   1449.08 ;    std_val = 40.58
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1527 ;    mean_val =   1451.47 ;    std_val = 39.28
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1527 ;    mean_val =   1443.65 ;    std_val = 36.76
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1396 ;    max_val =  1527 ;    mean_val =   1446.60 ;    std_val = 34.77
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1382 ;    max_val =  1527 ;    mean_val =   1444.81 ;    std_val = 35.90
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1387 ;    max_val =  1527 ;    mean_val =   1447.50 ;    std_val = 39.90
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1528 ;    mean_val =   1457.54 ;    std_val = 39.89
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1528 ;    mean_val =   1444.76 ;    std_val = 35.89
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1531 ;    mean_val =   1440.56 ;    std_val = 36.65
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1531 ;    mean_val =   1440.75 ;    std_val = 39.55
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1531 ;    mean_val =   1440.43 ;    std_val = 37.25
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1536 ;    mean_val =   1438.32 ;    std_val = 36.61
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1531 ;    mean_val =   1433.45 ;    std_val = 33.32
