0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1524 ;    mean_val =   1448.74 ;    std_val = 26.71
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1499 ;    mean_val =   1445.36 ;    std_val = 27.38
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1512 ;    mean_val =   1441.53 ;    std_val = 28.38
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1512 ;    mean_val =   1434.74 ;    std_val = 25.70
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1486 ;    mean_val =   1431.01 ;    std_val = 26.38
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1486 ;    mean_val =   1434.96 ;    std_val = 27.88
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1486 ;    mean_val =   1436.76 ;    std_val = 29.64
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1486 ;    mean_val =   1441.57 ;    std_val = 29.26
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1486 ;    mean_val =   1435.25 ;    std_val = 30.37
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1486 ;    mean_val =   1426.72 ;    std_val = 30.24
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1484 ;    mean_val =   1419.71 ;    std_val = 28.90
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1484 ;    mean_val =   1424.95 ;    std_val = 29.44
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1377 ;    max_val =  1488 ;    mean_val =   1422.71 ;    std_val = 28.87
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1491 ;    mean_val =   1420.28 ;    std_val = 28.83
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1483 ;    mean_val =   1412.00 ;    std_val = 23.49
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1483 ;    mean_val =   1408.11 ;    std_val = 21.44
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1348 ;    max_val =  1483 ;    mean_val =   1407.05 ;    std_val = 21.73
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1462 ;    mean_val =   1408.66 ;    std_val = 21.08
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1462 ;    mean_val =   1407.49 ;    std_val = 21.34
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1364 ;    max_val =  1459 ;    mean_val =   1407.78 ;    std_val = 19.85
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1369 ;    max_val =  1459 ;    mean_val =   1409.08 ;    std_val = 18.66
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1367 ;    max_val =  1453 ;    mean_val =   1404.20 ;    std_val = 20.51
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1453 ;    mean_val =   1401.48 ;    std_val = 19.82
