0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1516 ;    mean_val =   1445.46 ;    std_val = 27.51
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1516 ;    mean_val =   1448.02 ;    std_val = 28.48
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1344 ;    max_val =  1516 ;    mean_val =   1448.94 ;    std_val = 26.20
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1383 ;    max_val =  1516 ;    mean_val =   1447.21 ;    std_val = 27.02
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1516 ;    mean_val =   1444.96 ;    std_val = 25.84
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1516 ;    mean_val =   1444.09 ;    std_val = 26.69
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1390 ;    max_val =  1516 ;    mean_val =   1441.63 ;    std_val = 25.19
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1516 ;    mean_val =   1440.55 ;    std_val = 24.10
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1516 ;    mean_val =   1438.90 ;    std_val = 22.30
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1516 ;    mean_val =   1439.82 ;    std_val = 21.75
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1516 ;    mean_val =   1441.81 ;    std_val = 21.70
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1516 ;    mean_val =   1438.91 ;    std_val = 20.37
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1392 ;    max_val =  1516 ;    mean_val =   1441.17 ;    std_val = 23.98
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1516 ;    mean_val =   1439.94 ;    std_val = 25.46
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1391 ;    max_val =  1516 ;    mean_val =   1441.11 ;    std_val = 22.67
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1503 ;    mean_val =   1438.93 ;    std_val = 22.40
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1386 ;    max_val =  1503 ;    mean_val =   1438.36 ;    std_val = 22.02
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1517 ;    mean_val =   1440.85 ;    std_val = 22.76
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1503 ;    mean_val =   1439.67 ;    std_val = 23.30
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1512 ;    mean_val =   1440.52 ;    std_val = 25.97
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1512 ;    mean_val =   1443.70 ;    std_val = 28.53
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1518 ;    mean_val =   1445.05 ;    std_val = 31.05
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1518 ;    mean_val =   1444.16 ;    std_val = 30.61
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1518 ;    mean_val =   1445.86 ;    std_val = 30.49
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1523 ;    mean_val =   1448.80 ;    std_val = 28.75
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1523 ;    mean_val =   1449.02 ;    std_val = 34.13
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1375 ;    max_val =  1515 ;    mean_val =   1446.35 ;    std_val = 32.50
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1515 ;    mean_val =   1448.81 ;    std_val = 32.06
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1515 ;    mean_val =   1452.14 ;    std_val = 32.20
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1517 ;    mean_val =   1449.48 ;    std_val = 31.95
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1371 ;    max_val =  1517 ;    mean_val =   1452.50 ;    std_val = 28.63
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1376 ;    max_val =  1515 ;    mean_val =   1455.50 ;    std_val = 26.53
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1379 ;    max_val =  1512 ;    mean_val =   1454.36 ;    std_val = 26.01
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1381 ;    max_val =  1516 ;    mean_val =   1453.25 ;    std_val = 22.84
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1380 ;    max_val =  1492 ;    mean_val =   1450.60 ;    std_val = 21.95
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1414 ;    max_val =  1492 ;    mean_val =   1451.21 ;    std_val = 19.28
