0: covered =  98 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1498 ;    mean_val =   1418.79 ;    std_val =204.09
1: covered = 100 ;    is_min_covered =    1 ;    min_val =   390 ;    max_val =  1499 ;    mean_val =   1428.88 ;    std_val =114.16
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1499 ;    mean_val =   1430.08 ;    std_val = 25.01
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1499 ;    mean_val =   1419.75 ;    std_val = 22.98
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1498 ;    mean_val =   1416.70 ;    std_val = 20.93
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1388 ;    max_val =  1460 ;    mean_val =   1413.10 ;    std_val = 15.85
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1389 ;    max_val =  1461 ;    mean_val =   1410.96 ;    std_val = 17.61
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1461 ;    mean_val =   1409.43 ;    std_val = 19.45
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1464 ;    mean_val =   1407.23 ;    std_val = 19.71
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1464 ;    mean_val =   1402.51 ;    std_val = 15.02
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1453 ;    mean_val =   1400.93 ;    std_val = 14.09
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1373 ;    max_val =  1435 ;    mean_val =   1399.14 ;    std_val = 11.57
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1435 ;    mean_val =   1402.40 ;    std_val = 10.71
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1374 ;    max_val =  1428 ;    mean_val =   1404.61 ;    std_val = 11.08
14: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1445 ;    mean_val =   1401.72 ;    std_val = 15.26
15: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1426 ;    mean_val =   1400.80 ;    std_val = 14.69
16: covered = 100 ;    is_min_covered =    1 ;    min_val =  1354 ;    max_val =  1438 ;    mean_val =   1400.20 ;    std_val = 15.08
17: covered = 100 ;    is_min_covered =    1 ;    min_val =  1357 ;    max_val =  1434 ;    mean_val =   1399.13 ;    std_val = 15.31
18: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1434 ;    mean_val =   1395.26 ;    std_val = 19.46
19: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1429 ;    mean_val =   1396.89 ;    std_val = 18.83
20: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1434 ;    mean_val =   1398.73 ;    std_val = 16.62
21: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1435 ;    mean_val =   1400.72 ;    std_val = 17.97
22: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1435 ;    mean_val =   1398.59 ;    std_val = 18.11
23: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1435 ;    mean_val =   1384.78 ;    std_val = 24.37
24: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1435 ;    mean_val =   1382.07 ;    std_val = 24.44
25: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1422 ;    mean_val =   1380.28 ;    std_val = 24.51
26: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1424 ;    mean_val =   1375.83 ;    std_val = 25.03
27: covered = 100 ;    is_min_covered =    1 ;    min_val =  1337 ;    max_val =  1421 ;    mean_val =   1376.47 ;    std_val = 22.85
28: covered = 100 ;    is_min_covered =    1 ;    min_val =  1336 ;    max_val =  1412 ;    mean_val =   1367.81 ;    std_val = 21.65
29: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1414 ;    mean_val =   1363.89 ;    std_val = 21.37
30: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1412 ;    mean_val =   1362.70 ;    std_val = 20.95
31: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1412 ;    mean_val =   1359.11 ;    std_val = 19.24
32: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1413 ;    mean_val =   1360.31 ;    std_val = 21.32
33: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1411 ;    mean_val =   1359.69 ;    std_val = 20.66
34: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1411 ;    mean_val =   1355.05 ;    std_val = 18.47
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1328 ;    max_val =  1411 ;    mean_val =   1356.74 ;    std_val = 20.08
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1320 ;    max_val =  1411 ;    mean_val =   1355.18 ;    std_val = 17.35
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1411 ;    mean_val =   1356.26 ;    std_val = 15.54
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1397 ;    mean_val =   1351.16 ;    std_val = 13.86
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1329 ;    max_val =  1397 ;    mean_val =   1350.43 ;    std_val = 12.41
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1326 ;    max_val =  1395 ;    mean_val =   1349.71 ;    std_val = 11.79
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1395 ;    mean_val =   1350.05 ;    std_val = 13.66
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1395 ;    mean_val =   1347.87 ;    std_val = 12.89
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1386 ;    mean_val =   1346.63 ;    std_val = 13.25
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1321 ;    max_val =  1389 ;    mean_val =   1346.07 ;    std_val = 14.08
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1327 ;    max_val =  1382 ;    mean_val =   1342.04 ;    std_val = 12.10
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1318 ;    max_val =  1377 ;    mean_val =   1340.98 ;    std_val = 11.21
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1324 ;    max_val =  1375 ;    mean_val =   1340.94 ;    std_val = 10.50
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1322 ;    max_val =  1374 ;    mean_val =   1340.01 ;    std_val = 10.43
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1322 ;    max_val =  1374 ;    mean_val =   1341.39 ;    std_val = 12.84
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1323 ;    max_val =  1372 ;    mean_val =   1340.06 ;    std_val = 12.60
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1322 ;    max_val =  1372 ;    mean_val =   1338.05 ;    std_val = 11.18
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1315 ;    max_val =  1372 ;    mean_val =   1334.90 ;    std_val = 11.64
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1372 ;    mean_val =   1334.65 ;    std_val = 11.25
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1316 ;    max_val =  1364 ;    mean_val =   1332.84 ;    std_val =  9.76
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1318 ;    max_val =  1360 ;    mean_val =   1330.53 ;    std_val =  8.09
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1315 ;    max_val =  1359 ;    mean_val =   1328.38 ;    std_val =  7.70
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1310 ;    max_val =  1346 ;    mean_val =   1328.41 ;    std_val =  7.27
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1310 ;    max_val =  1352 ;    mean_val =   1328.03 ;    std_val =  8.26
