0: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1510 ;    mean_val =   1444.76 ;    std_val = 25.96
1: covered = 100 ;    is_min_covered =    1 ;    min_val =  1394 ;    max_val =  1495 ;    mean_val =   1431.83 ;    std_val = 21.74
2: covered = 100 ;    is_min_covered =    1 ;    min_val =  1385 ;    max_val =  1509 ;    mean_val =   1425.95 ;    std_val = 22.58
3: covered = 100 ;    is_min_covered =    1 ;    min_val =  1384 ;    max_val =  1470 ;    mean_val =   1423.94 ;    std_val = 21.65
4: covered = 100 ;    is_min_covered =    1 ;    min_val =  1362 ;    max_val =  1466 ;    mean_val =   1415.74 ;    std_val = 23.94
5: covered = 100 ;    is_min_covered =    1 ;    min_val =  1378 ;    max_val =  1471 ;    mean_val =   1409.46 ;    std_val = 22.84
6: covered = 100 ;    is_min_covered =    1 ;    min_val =  1361 ;    max_val =  1472 ;    mean_val =   1405.79 ;    std_val = 20.81
7: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1471 ;    mean_val =   1397.60 ;    std_val = 23.70
8: covered = 100 ;    is_min_covered =    1 ;    min_val =  1358 ;    max_val =  1448 ;    mean_val =   1389.88 ;    std_val = 20.42
9: covered = 100 ;    is_min_covered =    1 ;    min_val =  1351 ;    max_val =  1422 ;    mean_val =   1384.15 ;    std_val = 18.36
10: covered = 100 ;    is_min_covered =    1 ;    min_val =  1355 ;    max_val =  1420 ;    mean_val =   1378.56 ;    std_val = 15.68
11: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1411 ;    mean_val =   1368.84 ;    std_val = 14.22
12: covered = 100 ;    is_min_covered =    1 ;    min_val =  1347 ;    max_val =  1408 ;    mean_val =   1365.62 ;    std_val = 12.04
13: covered = 100 ;    is_min_covered =    1 ;    min_val =  1346 ;    max_val =  1386 ;    mean_val =   1362.05 ;    std_val =  7.42
